id,date,latitude,longitude,place_desc,title,description,source,links,filters
,2023-02-10,49.12918,38.144096,Chervonopopivka,Shelling at Chervonopopivka,"Alternate place names: Chervonopivka, Chervopopivka, Chervonpopivka",DEFMON,[],[]
,2023-02-10,49.275901,38.022863,Novovodyane,Shelling at Novovodyane,Alternate place names: Novovodyane,DEFMON,[],[]
,2023-02-10,49.542553,37.893238,Berestove,Shelling at Berestove,"Alternate place names: Berestovka, Berestov, Berestovo (kupyansk)",DEFMON,[],[]
,2023-02-10,48.97449,38.148414,Serebryansʹke,Shelling at Serebryansʹke,Alternate place names: Serebryansk forestry,DEFMON,[],[]
,2023-02-10,48.596926,37.982069,Bakhmut,Shelling at Bakhmut,Alternate place names: Bakhmut,DEFMON,[],[]
,2023-02-10,47.492333,33.389039,Mykolaivka,Shelling at Mykolaivka,Alternate place names: Mykolayivka,DEFMON,[],[]
,2023-02-10,48.400446,37.969482,Maiors'ka station,Shelling at Maiors'ka station,"Alternate place names: Mayorsky, Mayorsk",DEFMON,[],[]
,2023-02-10,48.758817,38.242351,Berestove,Shelling at Berestove,"Alternate place names: Berestove, Berestovo, Berestov, Berestov, Berestovka",DEFMON,[],[]
,2023-02-10,48.145252,37.738001,Avdiivka,Shelling at Avdiivka,"Alternate place names: Avdiivka, Avdiyivka",DEFMON,[],[]
,2023-02-10,47.778024,37.247411,Vuhledar,Shelling at Vuhledar,"Alternate place names: Vuhledar,  Vugledar, Vugledar, Coal",DEFMON,[],[]
,2023-02-10,48.735848,38.209602,Bilohorivka,Shelling at Bilohorivka,"Alternate place names: Bilohorivka, Belogorivka, Belogorovka, Bilorogovka, Bilogorivka",DEFMON,[],[]
,2023-02-10,48.477581,37.894768,Bila Hora,Shelling at Bila Hora,"Alternate place names: Bila Hora, Bila Gora",DEFMON,[],[]
,2023-02-10,48.745938,38.152234,Vesele,Shelling at Vesele,"Alternate place names: Vesele, Veselaya,  Vesely",DEFMON,[],[]
,2023-02-10,48.08264,37.621653,Pervomais'ke,Shelling at Pervomais'ke,"Alternate place names: Pervomaiske, Pervomaiskyi, Pervomayske",DEFMON,[],[]
